date,state,cases,deaths
3/31/20,Alabama,999,14
3/31/20,Alaska,133,2
3/31/20,Arizona,1298,24
3/31/20,Arkansas,564,8
3/31/20,California,8583,184
3/31/20,Colorado,2990,69
3/31/20,Connecticut,3128,69
3/31/20,Delaware,319,10
3/31/20,District of Columbia,495,9
3/31/20,Florida,6742,85
3/31/20,Georgia,4116,126
3/31/20,Hawaii,224,1
3/31/20,Idaho,526,9
3/31/20,Illinois,5992,107
3/31/20,Indiana,2177,61
3/31/20,Iowa,498,7
3/31/20,Kansas,435,10
3/31/20,Kentucky,590,18
3/31/20,Louisiana,5237,240
3/31/20,Maine,303,5
3/31/20,Maryland,1662,18
3/31/20,Massachusetts,6620,89
3/31/20,Michigan,7629,264
3/31/20,Minnesota,629,12
3/31/20,Mississippi,937,20
3/31/20,Missouri,1350,15
3/31/20,Montana,198,5
3/31/20,Nebraska,199,4
3/31/20,Nevada,1113,26
3/31/20,New Hampshire,367,3
3/31/20,New Jersey,18696,267
3/31/20,New Mexico,315,5
3/31/20,New York,76211,1929
3/31/20,North Carolina,1527,10
3/31/20,North Dakota,126,3
3/31/20,Ohio,2199,55
3/31/20,Oklahoma,566,23
3/31/20,Oregon,690,18
3/31/20,Pennsylvania,4997,72
3/31/20,Rhode Island,488,8
3/31/20,South Carolina,1083,22
3/31/20,South Dakota,107,1
3/31/20,Tennessee,2049,13
3/31/20,Texas,3588,57
3/31/20,Utah,887,5
3/31/20,Vermont,293,13
3/31/20,Virginia,1249,27
3/31/20,Washington,5293,226
3/31/20,West Virginia,162,1
3/31/20,Wisconsin,1351,25
3/31/20,Wyoming,121,0
