date,state,cases,deaths
11/30/20,Alabama,249524,3578
11/30/20,Alaska,32407,115
11/30/20,Arizona,327046,6640
11/30/20,Arkansas,157359,2502
11/30/20,California,1237192,19209
11/30/20,Colorado,234502,3060
11/30/20,Connecticut,117295,5020
11/30/20,Delaware,35654,772
11/30/20,District of Columbia,21552,680
11/30/20,Florida,999311,18596
11/30/20,Georgia,454328,9198
11/30/20,Hawaii,18006,242
11/30/20,Idaho,102158,937
11/30/20,Illinois,727825,13015
11/30/20,Indiana,341694,5723
11/30/20,Iowa,230634,2426
11/30/20,Kansas,160428,1560
11/30/20,Kentucky,183255,2065
11/30/20,Louisiana,232414,6420
11/30/20,Maine,11757,194
11/30/20,Maryland,198710,4641
11/30/20,Massachusetts,226132,10748
11/30/20,Michigan,388102,9565
11/30/20,Minnesota,318822,3652
11/30/20,Mississippi,153270,3807
11/30/20,Missouri,314981,3981
11/30/20,Montana,62256,684
11/30/20,Nebraska,129043,1047
11/30/20,Nevada,152726,2149
11/30/20,New Hampshire,20994,526
11/30/20,New Jersey,339133,16993
11/30/20,New Mexico,97095,1568
11/30/20,New York,652748,34150
11/30/20,North Carolina,364968,5296
11/30/20,North Dakota,79258,933
11/30/20,Ohio,421063,6429
11/30/20,Oklahoma,197745,1743
11/30/20,Oregon,75454,919
11/30/20,Pennsylvania,366971,10439
11/30/20,Rhode Island,56723,1373
11/30/20,South Carolina,217487,4381
11/30/20,South Dakota,80464,946
11/30/20,Tennessee,366412,4546
11/30/20,Texas,1262145,21968
11/30/20,Utah,195744,871
11/30/20,Vermont,4172,69
11/30/20,Virginia,237835,4062
11/30/20,Washington,172175,2895
11/30/20,West Virginia,47842,735
11/30/20,Wisconsin,411730,3504
11/30/20,Wyoming,33305,215
